
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="treat_pre",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="clay_pre",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="elec_clay_pre",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="clay",="-0.005",="-0.015**",="-0.016**",="-0.007",="0.001",="-0.009",="0.001",="-0.010"
="",="(0.006)",="(0.007)",="(0.007)",="(0.005)",="(0.014)",="(0.008)",="(0.004)",="(0.010)"

="clay_post",="0.015***",="0.007",="0.012**",="0.025***",="0.016**",="0.006",="-0.003",="0.007"
="",="(0.005)",="(0.005)",="(0.005)",="(0.006)",="(0.008)",="(0.009)",="(0.006)",="(0.013)"

="1[10th-Plan district] x 1[2011]",="0.005*",="-0.001",="0.001",="0.012***",="-0.001",="0.011*",="0.001",="0.012"
="",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.006)",="(0.006)",="(0.004)",="(0.008)"

="post_t_p",="0.000***",="0.000",="0.000***",="0.000**",="0.000***",="0.000***",="0.000***",="0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="post_m_sch",="0.000",="0.000",="-0.000",="-0.000",="-0.000",="-0.001***",="-0.000**",="-0.001***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="post_s_sch",="-0.002***",="-0.001***",="-0.001***",="-0.001***",="-0.002***",="-0.002***",="-0.001**",="-0.001"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.000)",="(0.001)"

="post_s_s_sch",="-0.008***",="-0.003*",="-0.004***",="-0.009***",="-0.002",="-0.018***",="-0.006***",="-0.021***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.001)",="(0.001)",="(0.002)"

="post_college",="-0.014***",="-0.008***",="-0.012***",="-0.005***",="-0.013***",="-0.009***",="-0.005***",="-0.003"
="",="(0.002)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.002)",="(0.003)"

="post_hosp",="-0.002***",="-0.002",="0.000",="-0.004***",="-0.003*",="-0.007***",="-0.002*",="-0.009***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.001)",="(0.002)"

="post_tot_exp",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="-0.000",="0.000",="-0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="post_tot_irr",="0.000*",="0.000",="-0.000",="0.000*",="-0.000*",="0.000***",="0.000",="0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="post_tar_road",="-0.004***",="-0.004***",="0.001",="-0.028***",="-0.007***",="-0.021***",="-0.002**",="-0.031***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.001)",="(0.001)",="(0.002)"

="post_dist_town",="0.000***",="0.000***",="0.000***",="0.001***",="0.000",="-0.000*",="-0.000***",="0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="1[10th-Plan district] x 1[2011] x Clay content",="0.001",="0.008",="0.004",="-0.012*",="0.015",="0.012",="0.019**",="0.016"
="",="(0.006)",="(0.007)",="(0.007)",="(0.007)",="(0.013)",="(0.013)",="(0.009)",="(0.015)"

="N",="1049898",="907196",="1015410",="992760",="662955",="950002",="950002",="950002"
="Mean of dep var",="     0.26",="     0.33",="     0.21",="     0.24",="     0.28",="     0.29",="     0.10",="     0.34"

