
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="purdah_pre",="0.000",="0.104**",="0.040**",="0.052**",="0.001",="-0.005",="0.021",="-0.020"
="",="(0.013)",="(0.040)",="(0.016)",="(0.023)",="(0.034)",="(0.041)",="(0.031)",="(0.049)"

="elec_purdah_pre",="0.010",="-0.076*",="-0.049**",="-0.053**",="-0.061",="0.022",="-0.053",="0.077"
="",="(0.019)",="(0.042)",="(0.018)",="(0.025)",="(0.053)",="(0.042)",="(0.046)",="(0.049)"

="1[10th-Plan district] x 1[1991]",="-0.035",="0.065",="0.027",="0.033",="-0.007",="0.004",="0.039",="-0.031"
="",="(0.027)",="(0.041)",="(0.021)",="(0.043)",="(0.062)",="(0.046)",="(0.043)",="(0.065)"

="1[10th-Plan district] x 1[2011]",="0.027",="0.048*",="0.084***",="0.003",="0.011",="0.065",="-0.094**",="0.068"
="",="(0.035)",="(0.028)",="(0.026)",="(0.038)",="(0.061)",="(0.052)",="(0.034)",="(0.063)"

="pre_t_p",="-0.000",="-0.000**",="-0.000",="-0.000",="0.000*",="0.000**",="0.000",="0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="pre_m_sch",="0.001",="0.001",="0.002",="0.005***",="-0.010",="-0.004",="-0.002",="-0.003"
="",="(0.002)",="(0.003)",="(0.002)",="(0.002)",="(0.007)",="(0.003)",="(0.003)",="(0.004)"

="pre_s_sch",="-0.000",="0.002",="-0.001",="-0.003*",="-0.006",="-0.002",="-0.001",="-0.001"
="",="(0.003)",="(0.003)",="(0.003)",="(0.001)",="(0.009)",="(0.003)",="(0.004)",="(0.006)"

="pre_s_s_sch",="-0.003",="0.001",="0.004",="0.010***",="0.008",="-0.015**",="0.005",="-0.024**"
="",="(0.004)",="(0.005)",="(0.003)",="(0.004)",="(0.011)",="(0.006)",="(0.005)",="(0.009)"

="pre_college",="-0.005",="-0.001",="-0.007",="-0.001",="-0.018",="0.009",="-0.019**",="0.023"
="",="(0.008)",="(0.012)",="(0.004)",="(0.006)",="(0.018)",="(0.020)",="(0.007)",="(0.033)"

="pre_hosp",="0.002*",="-0.001",="0.002",="0.008***",="-0.000",="-0.003",="-0.010***",="-0.011"
="",="(0.001)",="(0.004)",="(0.003)",="(0.002)",="(0.006)",="(0.006)",="(0.003)",="(0.007)"

="pre_tot_exp",="0.000",="0.000",="0.000",="0.000",="0.000*",="0.000",="0.000*",="0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="pre_tot_irr",="0.000",="0.000",="0.000",="0.000",="-0.000",="-0.000",="-0.000",="-0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="pre_tar_road",="0.001",="-0.007",="-0.001",="-0.001",="0.011",="0.012***",="0.004",="0.011**"
="",="(0.005)",="(0.007)",="(0.002)",="(0.002)",="(0.009)",="(0.003)",="(0.004)",="(0.004)"

="pre_dist_town",="-0.000*",="0.000",="0.000",="-0.000**",="-0.001",="-0.001***",="-0.000***",="-0.001**"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.000)",="(0.000)",="(0.000)"

="post_t_p",="0.000",="-0.000",="0.000",="-0.000***",="0.000**",="0.000",="0.000**",="0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="post_m_sch",="-0.002",="-0.004",="-0.003",="-0.000",="-0.002",="-0.004",="-0.005*",="-0.006"
="",="(0.002)",="(0.003)",="(0.003)",="(0.002)",="(0.006)",="(0.004)",="(0.003)",="(0.005)"

="post_s_sch",="0.001",="-0.002",="-0.001",="0.000",="-0.009",="-0.001",="-0.001",="-0.001"
="",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.010)",="(0.005)",="(0.004)",="(0.004)"

="post_s_s_sch",="0.000",="0.007**",="0.004",="-0.002",="-0.001",="-0.019***",="-0.013**",="-0.017*"
