
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="1[10th-Plan district] x 1[2011]",="0.008",="0.008",="0.009",="0.008",="0.014",="0.033***",="0.011",="0.038**"
="",="(0.007)",="(0.009)",="(0.007)",="(0.008)",="(0.014)",="(0.012)",="(0.009)",="(0.016)"

="Beat just. (index) x 1[2011]",="-0.001",="-0.002",="0.003",="0.001",="0.003",="0.014**",="0.008**",="0.018**"
="",="(0.003)",="(0.004)",="(0.004)",="(0.003)",="(0.006)",="(0.006)",="(0.004)",="(0.008)"

="Beat just. (index) x 1[2011] x 1[10th-Plan district]",="-0.004",="-0.004",="-0.008*",="-0.001",="-0.009",="-0.012",="0.000",="-0.018*"
="",="(0.005)",="(0.006)",="(0.005)",="(0.005)",="(0.008)",="(0.008)",="(0.004)",="(0.010)"

="N",="512444",="446981",="496101",="487689",="330563",="471945",="471945",="471945"
="Mean of dep var",="     0.26",="     0.33",="     0.20",="     0.24",="     0.28",="     0.30",="     0.10",="     0.35"

