
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="1[10th-Plan district] x 1[2011]",="0.007",="0.007",="0.007",="0.006",="0.016",="0.034**",="0.010",="0.041**"
="",="(0.008)",="(0.011)",="(0.009)",="(0.009)",="(0.016)",="(0.015)",="(0.011)",="(0.019)"

="Beating just. (dummy) x 1[2011]",="-0.010",="-0.011",="-0.001",="-0.007",="0.012",="0.033*",="0.026**",="0.051**"
="",="(0.009)",="(0.011)",="(0.010)",="(0.010)",="(0.016)",="(0.019)",="(0.011)",="(0.024)"

="Beating just. (dummy) x 1[2011] x 1[10th-Plan district]",="-0.007",="-0.007",="-0.014",="0.002",="-0.024",="-0.028",="0.002",="-0.044"
="",="(0.013)",="(0.017)",="(0.013)",="(0.015)",="(0.023)",="(0.025)",="(0.015)",="(0.031)"

="N",="512444",="446981",="496101",="487689",="330563",="471945",="471945",="471945"
="Mean of dep var",="     0.26",="     0.33",="     0.20",="     0.24",="     0.28",="     0.30",="     0.10",="     0.35"

