
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="1[10th-Plan district] x 1[1991]",="0.005",="0.007",="0.002",="-0.003",="0.010",="0.001",="-0.001",="0.005"
="",="(0.004)",="(0.005)",="(0.005)",="(0.006)",="(0.008)",="(0.006)",="(0.003)",="(0.009)"

="1[10th-Plan district] x 1[2011]",="0.005*",="0.002",="0.001",="0.010**",="0.005",="0.013**",="0.005",="0.017**"
="",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.006)",="(0.006)",="(0.004)",="(0.008)"

="N",="277281",="275424",="277068",="276940",="253701",="263130",="263130",="263130"
="Mean of dep var",="     0.25",="     0.32",="     0.19",="     0.20",="     0.30",="     0.25",="     0.11",="     0.28"

