
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="1[10th-Plan district] x 1[1991]",="0.007*",="0.007",="0.010",="-0.007",="-0.002",="0.001",="-0.001",="0.006"
="",="(0.004)",="(0.005)",="(0.007)",="(0.005)",="(0.008)",="(0.005)",="(0.003)",="(0.008)"

="1[10th-Plan district] x 1[2011]",="0.004",="0.001",="0.002",="0.009***",="0.009",="0.013***",="0.004",="0.013*"
="",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.006)",="(0.005)",="(0.004)",="(0.007)"

="N",="1619333",="1383367",="1575764",="1473971",="916703",="1395207",="1395207",="1395207"
="Mean of dep var",="     0.26",="     0.32",="     0.21",="     0.24",="     0.28",="     0.29",="     0.10",="     0.34"

