
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="1[10th-Plan district] x 1[1991]",="0.006",="-0.009",="0.000",="-0.007",="-0.013",="-0.000",="-0.003",="0.002"
="",="(0.007)",="(0.007)",="(0.009)",="(0.009)",="(0.010)",="(0.009)",="(0.004)",="(0.015)"

="1[10th-Plan district] x 1[2011]",="0.000",="-0.004",="-0.002",="0.000",="0.010",="0.016**",="-0.005",="0.017"
="",="(0.005)",="(0.005)",="(0.006)",="(0.005)",="(0.006)",="(0.008)",="(0.006)",="(0.011)"

="N",="1129963",="957597",="1097598",="1030791",="641698",="974960",="974960",="974960"
="Mean of dep var",="     0.28",="     0.35",="     0.23",="     0.24",="     0.29",="     0.30",="     0.11",="     0.35"

