
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="treat_pre",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="clay_pre",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="elec_clay_pre",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="clay",="-0.006",="-0.015**",="-0.016**",="-0.007",="0.000",="-0.009",="0.000",="-0.009"
="",="(0.006)",="(0.007)",="(0.007)",="(0.005)",="(0.014)",="(0.008)",="(0.004)",="(0.010)"

="clay_post",="0.015***",="0.007",="0.012**",="0.024***",="0.016**",="0.004",="-0.004",="0.004"
="",="(0.004)",="(0.005)",="(0.005)",="(0.006)",="(0.007)",="(0.009)",="(0.005)",="(0.012)"

="1[10th-Plan district] x 1[2011]",="0.005",="-0.001",="0.000",="0.013***",="-0.001",="0.011*",="-0.000",="0.012"
="",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.006)",="(0.006)",="(0.004)",="(0.008)"

="1[10th-Plan district] x 1[2011] x Clay content",="0.001",="0.008",="0.004",="-0.013*",="0.014",="0.012",="0.019**",="0.016"
="",="(0.006)",="(0.007)",="(0.007)",="(0.007)",="(0.012)",="(0.013)",="(0.009)",="(0.015)"

="N",="1065806",="917026",="1029813",="1007785",="671336",="963450",="963450",="963450"
="Mean of dep var",="     0.26",="     0.33",="     0.21",="     0.24",="     0.28",="     0.29",="     0.10",="     0.34"

