
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="treat_pre",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="clay_pre",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="elec_clay_pre",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="clay",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="clay_post",="0.016***",="0.005",="0.012**",="0.026***",="0.021***",="0.007",="-0.002",="0.012"
="",="(0.005)",="(0.005)",="(0.005)",="(0.006)",="(0.007)",="(0.009)",="(0.006)",="(0.013)"

="1[10th-Plan district] x 1[2011]",="0.006*",="-0.001",="0.000",="0.014***",="0.002",="0.012**",="0.001",="0.015*"
="",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.006)",="(0.006)",="(0.004)",="(0.008)"

="1[10th-Plan district] x 1[2011] x Clay content",="-0.002",="0.010",="0.004",="-0.019**",="0.003",="0.005",="0.014",="0.001"
="",="(0.006)",="(0.007)",="(0.007)",="(0.008)",="(0.010)",="(0.015)",="(0.010)",="(0.017)"

="N",="1061032",="837606",="997362",="970042",="517294",="892536",="892536",="892536"
="Mean of dep var",="     0.26",="     0.33",="     0.20",="     0.23",="     0.28",="     0.29",="     0.10",="     0.33"

