
="",="(1)",="(2)",="(3)",="(4)"
="",="any_own_f",="any_own_m",="ln_own_f",="ln_own_m"

="treat_pre",="-0.003",="-0.034***",="-0.003",="0.022"
="",="(0.011)",="(0.013)",="(0.033)",="(0.039)"

="clay_pre",="-0.003",="0.002",="0.010",="0.001"
="",="(0.017)",="(0.013)",="(0.051)",="(0.050)"

="elec_clay_pre",="0.028",="0.015",="0.043",="0.031"
="",="(0.021)",="(0.016)",="(0.065)",="(0.080)"

="clay",="0.020",="0.001",="-0.006",="0.098"
="",="(0.012)",="(0.008)",="(0.051)",="(0.067)"

="clay_post",="0.015",="0.024",="0.063",="-0.016"
="",="(0.021)",="(0.019)",="(0.057)",="(0.055)"

="1[10th-Plan district] x 1[2011]",="0.014",="0.014",="-0.094**",="0.012"
="",="(0.011)",="(0.009)",="(0.044)",="(0.036)"

="1[10th-Plan district] x 1[2011] x Clay content",="-0.028",="-0.026*",="0.108",="-0.074"
="",="(0.025)",="(0.015)",="(0.086)",="(0.085)"

="pc_f",="0.000***",="",="0.000***",=""
="",="(0.000)",="",="(0.000)",=""

="pc_m",="",="0.000**",="",="0.000***"
="",="",="(0.000)",="",="(0.000)"

="N",="1599034",="1599034",="1387768",="1387768"
="Mean of dep var",="     0.55",="     0.83",="     1.12",="     2.56"

