
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="treat_pre",="0.007*",="0.010*",="0.005",="-0.004",="0.001",="-0.001",="-0.002",="-0.001"
="",="(0.004)",="(0.006)",="(0.004)",="(0.005)",="(0.008)",="(0.005)",="(0.003)",="(0.009)"

="clay_pre",="0.015**",="0.014*",="0.006",="0.032***",="0.001",="0.001",="0.003",="-0.002"
="",="(0.008)",="(0.008)",="(0.007)",="(0.011)",="(0.011)",="(0.008)",="(0.005)",="(0.011)"

="elec_clay_pre",="-0.007",="-0.017",="-0.010",="0.001",="0.012",="0.014",="0.006",="0.030**"
="",="(0.010)",="(0.011)",="(0.010)",="(0.010)",="(0.016)",="(0.011)",="(0.006)",="(0.015)"

="clay",="-0.008",="-0.015**",="-0.016**",="-0.017***",="-0.003",="-0.011",="-0.004",="-0.016"
="",="(0.006)",="(0.007)",="(0.007)",="(0.006)",="(0.014)",="(0.008)",="(0.004)",="(0.010)"

="clay_post",="0.014***",="0.005",="0.011**",="0.022***",="0.016*",="0.003",="-0.003",="0.005"
="",="(0.005)",="(0.005)",="(0.005)",="(0.006)",="(0.008)",="(0.009)",="(0.006)",="(0.013)"

="1[10th-Plan district] x 1[2011]",="0.004",="-0.001",="-0.001",="0.013***",="-0.001",="0.010*",="0.000",="0.012"
="",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.007)",="(0.006)",="(0.004)",="(0.008)"

="1[10th-Plan district] x 1[2011] x Clay content",="0.004",="0.011",="0.007",="-0.010",="0.015",="0.013",="0.016*",="0.016"
="",="(0.006)",="(0.008)",="(0.008)",="(0.007)",="(0.014)",="(0.013)",="(0.009)",="(0.015)"

="N",="1593540",="1365513",="1551042",="1449527",="901923",="1372731",="1372731",="1372731"
="Mean of dep var",="     0.26",="     0.33",="     0.21",="     0.24",="     0.28",="     0.29",="     0.10",="     0.34"

