
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="1[10th-Plan district] x 1[1991]",="0.006",="0.007",="0.010",="-0.007",="-0.002",="0.001",="-0.001",="0.006"
="",="(0.004)",="(0.005)",="(0.007)",="(0.005)",="(0.008)",="(0.005)",="(0.003)",="(0.008)"

="1[10th-Plan district] x 1[2011]",="0.005*",="0.001",="0.002",="0.009***",="0.009",="0.013***",="0.003",="0.013*"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.006)",="(0.005)",="(0.004)",="(0.007)"

="pre_t_p",="0.000**",="",="",="",="",="",="",=""
="",="(0.000)",="",="",="",="",="",="",=""

="pre_m_sch",="-0.000",="",="",="",="",="",="",=""
="",="(0.000)",="",="",="",="",="",="",=""

="pre_s_sch",="-0.002***",="",="",="",="",="",="",=""
="",="(0.000)",="",="",="",="",="",="",=""

="pre_s_s_sch",="-0.014***",="",="",="",="",="",="",=""
="",="(0.002)",="",="",="",="",="",="",=""

="pre_college",="-0.009***",="",="",="",="",="",="",=""
="",="(0.003)",="",="",="",="",="",="",=""

="pre_hosp",="-0.005***",="",="",="",="",="",="",=""
="",="(0.001)",="",="",="",="",="",="",=""

="pre_tot_exp",="-0.000",="",="",="",="",="",="",=""
="",="(0.000)",="",="",="",="",="",="",=""

="pre_tot_irr",="0.000**",="",="",="",="",="",="",=""
="",="(0.000)",="",="",="",="",="",="",=""

="pre_tar_road",="-0.006***",="",="",="",="",="",="",=""
="",="(0.001)",="",="",="",="",="",="",=""

="pre_dist_town",="0.000***",="",="",="",="",="",="",=""
="",="(0.000)",="",="",="",="",="",="",=""

="post_t_p",="0.000***",="",="",="",="",="",="",=""
="",="(0.000)",="",="",="",="",="",="",=""

="post_m_sch",="-0.000",="",="",="",="",="",="",=""
="",="(0.000)",="",="",="",="",="",="",=""

="post_s_sch",="-0.003***",="",="",="",="",="",="",=""
="",="(0.001)",="",="",="",="",="",="",=""

="post_s_s_sch",="-0.012***",="",="",="",="",="",="",=""
="",="(0.003)",="",="",="",="",="",="",=""

="post_college",="-0.012***",="",="",="",="",="",="",=""
="",="(0.003)",="",="",="",="",="",="",=""

="post_hosp",="-0.002*",="",="",="",="",="",="",=""
="",="(0.001)",="",="",="",="",="",="",=""

="post_tot_exp",="0.000",="",="",="",="",="",="",=""
="",="(0.000)",="",="",="",="",="",="",=""

="post_tot_irr",="0.000**",="",="",="",="",="",="",=""
="",="(0.000)",="",="",="",="",="",="",=""

="post_tar_road",="-0.004***",="",="",="",="",="",="",=""
="",="(0.001)",="",="",="",="",="",="",=""

="post_dist_town",="0.000***",="",="",="",="",="",="",=""
="",="(0.000)",="",="",="",="",="",="",=""

="N",="1595440",="1375146",="1566824",="1465701",="911034",="1388110",="1388110",="1388110"
="Mean of dep var",="     0.26",="     0.33",="     0.21",="     0.24",="     0.28",="     0.29",="     0.10",="     0.34"

