
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="First stage",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="1[10th-Plan district] x 1[2011] elec_inst ",="0.056***",="",="",="",="",="",="",="",=""
="",="(0.016)",="",="",="",="",="",="",="",=""

="elec_inst",="",="0.071",="0.013",="0.031",="0.170***",="0.155",="0.230***",="0.069",="0.246*"
="",="",="(0.049)",="(0.057)",="(0.058)",="(0.062)",="(0.112)",="(0.089)",="(0.069)",="(0.131)"

="N",="1092625",="1086737",="931360",="1049719",="1027901",="683728",="982219",="982219",="982219"
="F-stat",="12.23",="",="",="",="",="",="",="",=""

