
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="purdah_pre",="-0.015",="0.050**",="0.021***",="0.047**",="0.042***",="0.008",="0.051**",="0.009"
="",="(0.010)",="(0.023)",="(0.007)",="(0.019)",="(0.013)",="(0.029)",="(0.021)",="(0.032)"

="elec_purdah_pre",="0.021",="-0.024",="-0.030**",="-0.051*",="-0.115**",="0.005",="-0.087**",="0.041"
="",="(0.017)",="(0.030)",="(0.011)",="(0.025)",="(0.049)",="(0.030)",="(0.036)",="(0.034)"

="1[10th-Plan district] x 1[1991]",="-0.044*",="0.022",="0.010",="0.032",="0.038",="0.018",="0.070**",="0.002"
="",="(0.025)",="(0.030)",="(0.016)",="(0.041)",="(0.058)",="(0.036)",="(0.033)",="(0.055)"

="1[10th-Plan district] x 1[2011]",="0.051*",="0.037*",="0.087***",="-0.030",="0.045",="0.073",="-0.042*",="0.079"
="",="(0.027)",="(0.020)",="(0.019)",="(0.037)",="(0.050)",="(0.045)",="(0.022)",="(0.053)"

="1[Purdah]",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1[Purdah] x 1[2011]",="0.029",="0.019",="0.061***",="-0.025*",="0.008",="-0.047",="-0.042*",="-0.061*"
="",="(0.019)",="(0.013)",="(0.016)",="(0.014)",="(0.025)",="(0.033)",="(0.020)",="(0.035)"

="1[Purdah] x 1[2011] x 1[10th-Plan district]",="-0.059**",="-0.063***",="-0.092***",="0.052**",="-0.059",="-0.059",="0.056**",="-0.016"
="",="(0.022)",="(0.019)",="(0.016)",="(0.023)",="(0.044)",="(0.041)",="(0.023)",="(0.045)"

="N",="67565",="62068",="66244",="63438",="43395",="60089",="60089",="60089"
="Mean of dep var",="     0.14",="     0.17",="     0.08",="     0.18",="     0.23",="     0.21",="     0.06",="     0.23"

