
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Main workers",="Ag labor",="Cultivators",="Other",="Household",="Non-farm",="Firm owners",="Firms employ women"

="purdah_pre",="-0.012",="0.054**",="0.024***",="0.042**",="0.039***",="0.005",="0.044**",="0.008"
="",="(0.011)",="(0.021)",="(0.006)",="(0.017)",="(0.013)",="(0.029)",="(0.019)",="(0.033)"

="elec_purdah_pre",="0.018",="-0.029",="-0.034***",="-0.046*",="-0.100**",="0.010",="-0.080**",="0.043"
="",="(0.017)",="(0.028)",="(0.011)",="(0.023)",="(0.047)",="(0.030)",="(0.034)",="(0.036)"

="1[10th-Plan district] x 1[1991]",="-0.042",="0.025",="0.014",="0.028",="0.034",="0.013",="0.065**",="-0.004"
="",="(0.025)",="(0.028)",="(0.016)",="(0.040)",="(0.059)",="(0.037)",="(0.031)",="(0.057)"

="1[10th-Plan district] x 1[2011]",="0.051*",="0.033*",="0.086***",="-0.030",="0.024",="0.083*",="-0.050**",="0.082"
="",="(0.027)",="(0.019)",="(0.018)",="(0.037)",="(0.046)",="(0.047)",="(0.023)",="(0.057)"

="1[Purdah]",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1[Purdah] x 1[2011]",="0.029",="0.017",="0.060***",="-0.025*",="-0.007",="-0.034",="-0.049**",="-0.056"
="",="(0.019)",="(0.012)",="(0.016)",="(0.014)",="(0.019)",="(0.036)",="(0.022)",="(0.041)"

="1[Purdah] x 1[2011] x 1[10th-Plan district]",="-0.059**",="-0.060***",="-0.091***",="0.052**",="-0.041",="-0.072",="0.064**",="-0.021"
="",="(0.022)",="(0.018)",="(0.016)",="(0.024)",="(0.040)",="(0.043)",="(0.024)",="(0.049)"

="N",="67554",="60853",="65943",="62752",="38598",="58733",="58733",="58733"
="Mean of dep var",="     0.14",="     0.17",="     0.08",="     0.18",="     0.23",="     0.21",="     0.06",="     0.23"

