
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="ln_mainwork_f",="ln_mainwork_m",="ln_al_f",="ln_al_m",="ln_cl_f",="ln_cl_m"

="pc_f",="0.000***",="",="0.000***",="",="0.000***",=""
="",="(0.000)",="",="(0.000)",="",="(0.000)",=""

="purdah_pre",="-0.123",="-0.122",="0.733",="0.372",="0.142",="0.419**"
="",="(0.202)",="(0.073)",="(0.650)",="(0.302)",="(0.287)",="(0.166)"

="elec_purdah_pre",="0.389",="0.202**",="-0.583",="-0.304",="-0.365",="-0.433**"
="",="(0.368)",="(0.083)",="(0.768)",="(0.353)",="(0.397)",="(0.182)"

="1[10th-Plan district] x 1[1991]",="-0.621",="-0.235***",="0.381",="-0.215",="0.398",="0.485***"
="",="(0.427)",="(0.080)",="(0.695)",="(0.356)",="(0.417)",="(0.165)"

="1[10th-Plan district] x 1[2011]",="0.446",="-0.002",="0.000",="-0.238",="1.415***",="0.306***"
="",="(0.265)",="(0.068)",="(0.209)",="(0.171)",="(0.188)",="(0.097)"

="1[Purdah]",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1[Purdah] x 1[2011]",="0.360***",="0.089***",="-0.016",="-0.281*",="1.079***",="0.528***"
="",="(0.125)",="(0.030)",="(0.110)",="(0.143)",="(0.137)",="(0.045)"

="1[Purdah] x 1[2011] x 1[10th-Plan district]",="-0.758***",="-0.207**",="-0.381",="0.204",="-1.683***",="-0.568***"
="",="(0.188)",="(0.075)",="(0.231)",="(0.160)",="(0.147)",="(0.099)"

="pc_m",="",="0.000***",="",="0.000***",="",="0.000***"
="",="",="(0.000)",="",="(0.000)",="",="(0.000)"

="N",="67654",="67654",="67654",="67654",="67654",="67654"
="Mean of dep var",="     3.46",="     5.54",="     1.77",="     3.29",="     1.71",="     4.35"

