
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="ln_non_ag_f",="ln_non_ag_m",="ln_non_ag_hh_f",="ln_non_ag_hh_m",="ln_non_ag_ot_f",="ln_non_ag_ot_m",="any_own_f",="any_own_m"

="1[10th-Plan district] x 1[2011]",="0.135",="0.097",="0.033",="0.038",="0.051",="0.050",="-0.024",="-0.012"
="",="(0.117)",="(0.073)",="(0.089)",="(0.070)",="(0.074)",="(0.036)",="(0.034)",="(0.031)"

="SC-ST share x 1[2011] x 1[10th-Plan district]",="-0.040",="-0.251",="0.097",="0.103",="-0.011",="-0.138",="0.127",="0.046"
="",="(0.280)",="(0.199)",="(0.173)",="(0.162)",="(0.183)",="(0.100)",="(0.091)",="(0.074)"

="N",="473238",="473238",="512665",="512665",="512665",="512665",="512665",="512665"
="Mean of dep var",="     2.35",="     3.22",="     0.62",="     1.03",="     2.09",="     3.22",="     0.55",="     0.85"

