
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="ln_non_ag_f",="ln_non_ag_m",="ln_non_ag_hh_f",="ln_non_ag_hh_m",="ln_non_ag_ot_f",="ln_non_ag_ot_m",="any_own_f",="any_own_m"

="1[10th-Plan district] x 1[2011]",="0.185**",="0.031",="0.144*",="0.105**",="0.159***",="0.029",="0.034",="-0.003"
="",="(0.081)",="(0.064)",="(0.077)",="(0.051)",="(0.051)",="(0.026)",="(0.023)",="(0.018)"

="UC share x 1[2011] x 1[10th-Plan district]",="-0.350",="-0.099",="-0.487**",="-0.193",="-0.633***",="-0.134",="-0.112",="0.041"
="",="(0.318)",="(0.250)",="(0.199)",="(0.164)",="(0.200)",="(0.106)",="(0.100)",="(0.052)"

="N",="473238",="473238",="512665",="512665",="512665",="512665",="512665",="512665"
="Mean of dep var",="     2.35",="     3.22",="     0.62",="     1.03",="     2.09",="     3.22",="     0.55",="     0.85"

